iid,name,cat_id
2405,乌江涪陵榨菜50g×6,854
2410,太古纯正白砂糖300g,278
2411,李锦记500ml金标生抽  ,274
2817,万容 四季系列 一次性装塑杯200ML 100只 BY3200,497
2976,高洁丝 小Q包丝薄护垫无香型40片 超薄亲肤 独立包装,322
2987,高洁丝 小Q包纤巧护垫无香型20片 柔软亲肤,322
2988,高洁丝 小Q包丝薄护垫无香型20片 随时清爽,322
2992,高洁丝 瞬吸漏斗棉柔迷你直条卫生巾10片 190mm,321
2996,高洁丝 小Q包纤巧护垫无香型40片,322
3030,苏菲 动感丝薄洁翼型日用卫生巾20片 大动作也不怕,321
3032,苏菲 口袋魔法小艾草超薄棉柔日用洁翼型8片,321
3038,隆力奇 蛇油膏护手霜120g 防裂防脱皮防冻疮膏,773
3061,苏菲 口袋魔法森呼吸超薄棉柔日用洁翼型 9片,321
3062,苏菲 口袋魔法零味感超薄棉柔日用洁翼型10片/包,321
3063,苏菲 弹力贴身薄0.1日用棉柔洁翼型 8片/包,321
3066,妈咪宝贝 经济型婴儿湿纸巾超值优惠装  72片×3,423
3068,苏菲 弹力贴身薄0.1日用洁翼型 16片/包 230mm,321
3105,云南白药 薄荷牙膏210g  美白 清新口气,365
3106,云南白药 薄荷香味牙膏150g,365
3110,云南白药 留兰香型牙膏100g,365
3114,云南白药 留兰香型牙膏 65g,365
3119,云南白药 金口健牙膏纯青普洱 130g,365
3120,云南白药 留兰香型牙膏180G,365
3223,ABC 亲柔立围超级薄棉柔排湿表层日用卫生巾8片240mm,321
3239,力士 幽莲魅肤精油香氛沐浴乳720ml 奢选香氛 魅力散发,357
3300,奥妙 净蓝全效深层洁净高浓度洗衣液3000ml  怡人清香 亮丽如新,473
3302,Dove 多芬 衡悦水润沐浴乳720ml 清爽水润沐浴露,357
3305,金健手擀面900g,292
3327,舜华劲辣鸭肉50g,202
3431,皇室馨花苏吝茉莉香米10kg,286
3441,六个核桃  核桃乳礼盒  240M*12/盒,226
3445,旺旺 香蕉牛奶礼盒190ml*12,224
3447,丹夫华夫饼原味168g,167
3448,丹夫华夫饼奶油味168g,167
3449,丹夫无糖华夫饼160g,167
3494,Wyeth/惠氏 进口奶源 S-26金装幼儿乐配方奶粉3段1-3岁1200g/盒,380
3495,Wyeth/惠氏 进口奶源 S-26金装健儿乐较大婴儿配方奶粉2段6-18个月900g/罐,378
3505,心相印 KDT170 厨房系列 70抽塑装抽纸 3包组合装 无印花塑装,492
3515,黑人 炭丝旋洁软毛 两支装牙刷 超值组合,367
3557,陈克明阳春精制挂面1000g,292
3626,多芬 丰盈宠肤沐浴乳乳木果和香草沐浴乳720ml 滋润肌肤,357
4777,太平桥黄彩袋豆豉80g  ,271
4955,台湾进口 77牌蜜兰诺松塔（12粒裝）192g  进口食品,126
5263,SaBaVa 沙巴哇越南进口芋头条 100g,135
5447,张君雅 台湾进口碳烤鸡汁点心面 100g,134
5597,天喔原味猪肉脯60g,203
5623,盼盼草莓瑞士卷240g,167
5641,趣多多黄油味曲奇香浓黄油原味216g,174
5643,趣多多黄油味曲奇浓情巧克力味216g,174
5655,不二家牛奶棒棒糖116g,188
5673,盼盼奶香法式软面包300g,178
5685,威猛先生 柠檬草香洁厕液 600g×2,846
5699,嘉士利牛奶早餐饼干1000g,173
5711,金健月芽香米5kg,286
5719,金浩茶籽本香食用调和油5L,285
5743,统一来一桶老坛酸菜牛肉面三连桶127g,259
5745,雀巢奶香威化480g,171
5763,趣多多缤纷逗巧克力味曲奇饼干255g,174
5767,金浩茶籽橄榄调和油5L  ,285
5769,金浩茶籽调和油5L,285
5777,奥利奥原味夹心家庭装饼干390g,173
5779,盼盼香蕉酥105g,204
5793,奥利奥巧克力味夹心家庭装饼干390g,173
5805,动心一族方正山楂138g,200
5807,动心一族  夹心山楂165g,200
5855,嘉士利牛奶味早餐饼167g,173
5871,不二家牛奶棒棒糖20支装芒果味+草莓味125g,188
5931,美即水密语6+2特惠装 25g*6片面膜+3g*2片眼膜 长效补水嫩肤 净白匀透 水润柔滑 天然保湿 绽放肌肤水嫩娇滑之美,331
5933,美即雪肌颜6+2特惠装 25g*6片面膜3g*2片眼膜深层补水滋养 莹润柔滑 肌肤透白如新,331
5941,美即 果萃水凝嫩白面膜眼膜组合特惠套装 6片面膜+2对眼膜,331
5951,奥利奥双心威化饼干香草味230g,173
5983,心相印红悦系列130抽*6包塑装面巾纸DT37130,489
6415,桂格即食燕麦片1.478kg/袋    特惠装,247
6585,Deyatur德亚全脂牛奶礼盒装 德国原装进口 200ml*12/盒,113
6641,雕牌 超效加酶洗衣粉4000g 去污无磷 衣物清洁,476
6799,三辉法式奶香面包(原味)450g,178
7151,Friso美素佳儿 荷兰原装进口 金装幼儿配方奶粉3段1-3岁900g/罐,380
7153,[婴儿奶粉特价]Friso 美素佳儿 荷兰原装进口 金装较大婴儿配方奶粉2段6-12个月900g/罐,378
7283,西麦  蛋白质核桃粉礼盒 1500g,247
7473,哈尔滨冰爽330ml*6罐装,227
7517,雪碧1.25l+果粒橙1.25L（双提手组合装）,211
7601,五粮液  52°新盒装01号  500ml  自营正品,230
7755,立白 生姜洗洁精2kg 祛腥不伤手 无残留,480
7757,立白 3合1无磷洗衣粉1.7kg 洗衣漂渍 去除菌 深层洁净,476
7773,立白 超洁清新洗衣粉4000g  不伤手 强效去渍,476
7807,维达 无芯卫卷70克 12粒特惠装 洁白自然,490
7841,立白 新一代不伤手洗洁精2kg 除菌清洁剂 高效去污,480
